month,pww,pwd,alpha,beta
jan,0.765475,0.354102,0.748633,10.398062
feb,0.732026,0.340980,0.637868,10.118466
mar,0.694966,0.373849,0.748342,7.667299
apr,0.610757,0.342995,0.652602,7.351262
may,0.542992,0.247449,0.692550,6.009671
jun,0.520744,0.204268,0.588651,6.991086
jul,0.394521,0.107700,0.690724,5.245244
aug,0.470199,0.122200,0.512859,8.848802
sep,0.548905,0.187424,0.629352,8.179549
oct,0.620038,0.296542,0.633422,10.870104
nov,0.725588,0.411325,0.742795,11.614934
dec,0.725906,0.419287,0.707725,11.077060

parameter,value
txmd,16.036379
atx,9.278742
txmw,13.787025
tn,7.069674
atn,5.676172
cvtx,0.013306
acvtx,0.001187
cvtn,0.010020
acvtn,0.003771

parameter,value
rmd,15.398841
ar,10.618972
rmw,10.265894

parameter,value
latitude,47.450000
random_seed,42
